"price","profit","visitors","age","time"
870,111,10406,470,2016-06-10
499,15,11076,1047,2016-06-10
2200,106,12279,1839,2016-06-10
1538,32,22911,561,2016-06-09
2001,154,3793,226,2016-06-09
650,69,5638,286,2016-06-09
2500,912,18423,286,2016-06-09
100,0,0,317,2016-06-09
80,0,29,712,2016-06-08
1200,69,21350,1716,2016-06-08
9050,-108,102419,1565,2016-06-08
3000,1700,2290,226,2016-06-07
1100,27,0,1900,2016-06-07
150,12,2253,1016,2016-06-07
300,-13,977,620,2016-06-06
300,19,7813,1626,2016-06-06
2850,72,0,1108,2016-06-06
800,43,18425,773,2016-06-05
500,-26,61993,378,2016-06-05
850,471,17405,195,2016-06-04
146,423,0,286,2016-06-04
1690,32,1993,804,2016-06-03
741,59,539,1808,2016-06-03
7750,450,1455,3239,2016-06-02
640,4,870,896,2016-06-02
830,49,2578,804,2016-06-02
125,0,50,439,2016-06-02
150,39,5777,439,2016-06-01
550,0,2269,378,2016-06-01
750,190,20153,439,2016-06-01
4000,200,94669,743,2016-06-01
350,29,8493,865,2016-05-31
805,100,7512,347,2016-05-27
1300,0,983,531,2016-05-27
3000,86,11057,592,2016-05-27
275,0,205,682,2016-05-27
9000,1739,1603,286,2016-05-26
501,0,285,2599,2016-05-26
2000,19,1086,1992,2016-05-25
3200,104,2153,1412,2016-05-25
80,0,160,531,2016-05-25
600,63,24216,226,2016-05-24
1350,0,8641,195,2016-05-24
1012,379,127707,1716,2016-05-24
85,1,148,2418,2016-05-24
1500,0,1730,682,2016-05-24
500,298,5785,347,2016-05-23
505,0,915,3148,2016-05-22
200,21,1658,255,2016-05-22
750,43,575,2357,2016-05-21
1500,15,2817,1077,2016-05-21
1250,126,3132,1869,2016-05-20
725,243,17994,500,2016-05-20
700,88,17264,317,2016-05-19
2750,185,7103,651,2016-05-18
350,14,650,470,2016-05-18
155,29,49233,378,2016-05-18
20,-1,9,865,2016-05-17
100,0,856,1200,2016-05-16
2000,28,23813,1931,2016-05-15
160,0,148,408,2016-05-15
200,15,296,317,2016-05-14
10000,879,66493,408,2016-05-13
200,8,2373,531,2016-05-12
1100,125,8542,1077,2016-05-12
250,1,331,347,2016-05-11
2000,3,854,1169,2016-05-11
650,585,34169,347,2016-05-10
3000,450,52290,865,2016-05-10
100,4,237,408,2016-05-09
1200,0,2302,470,2016-05-09
80,0,291,531,2016-05-04
1000,140,202136,620,2016-04-27
590,-3,419,1350,2016-04-23
600,104,33142,651,2016-04-21
2650,93,19155,1473,2016-04-20
79,0,43,773,2016-04-19
400,199,11455,500,2016-04-19
2450,72,130241,896,2016-04-19
150,-8,164,1839,2016-04-19
5400,506,30363,1016,2016-04-16
300,45,7790,470,2016-04-15
535,628,542,712,2016-04-10
4000,425,15596,651,2016-04-07
400,22,1421,408,2016-04-05
205,34,398,1261,2016-04-03
455,14,298,439,2016-04-03
100,0,402,1047,2016-04-03
600,-13,112,620,2016-04-02
180,-1,477,1687,2016-04-02
2502,125,13030,2053,2016-04-02
8250,321,18904,470,2016-04-01
2150,6,3255,1169,2016-04-01
485,2,165,1747,2016-03-31
1000,145,50005,620,2016-03-30
100,0,0,470,2016-03-29
400,9,12638,1291,2016-03-29
299,0,696,255,2016-03-28
150,0,15,408,2016-03-28
4200,483,65856,470,2016-03-27
150,3,1248,347,2016-03-27
